Date,District,RF,T max ,T min,Avg_tem
12/27/2014,Colombo,8,27.6,23.3,25.45
12/28/2014,Colombo,25.5,27.3,23.9,25.6
12/29/2014,Colombo,8.1,29,23.9,26.45
12/30/2014,Colombo,0,29.7,23.8,26.75
12/31/2014,Colombo,6.9,30.4,23.9,27.15
1/1/2015,Colombo,0,30.3,25.2,27.75
1/2/2015,Colombo,0,29.9,22.8,26.35
1/3/2015,Colombo,0,30.2,21.5,25.85
1/4/2015,Colombo,1.5,31.2,23,27.1
1/5/2015,Colombo,0,31,24.6,27.8
1/6/2015,Colombo,7.5,32.5,24.4,28.45
1/7/2015,Colombo,0,31.4,23.9,27.65
1/8/2015,Colombo,0,30.1,22.6,26.35
1/9/2015,Colombo,0,30,22.4,26.2
1/10/2015,Colombo,0,31.9,21.9,26.9
1/11/2015,Colombo,0,32.1,22.1,27.1
1/12/2015,Colombo,0,31.5,23.1,27.3
1/13/2015,Colombo,0,31.8,21.9,26.85
1/14/2015,Colombo,0,30.7,22.5,26.6
1/15/2015,Colombo,0,30.6,23.6,27.1
1/16/2015,Colombo,0,30.8,23.2,27
1/17/2015,Colombo,0,31.6,23.9,27.75
1/18/2015,Colombo,0,33.6,24,28.8
1/19/2015,Colombo,0,32.6,23.4,28
1/20/2015,Colombo,0,31.7,23,27.35
1/21/2015,Colombo,0,34,22.8,28.4
1/22/2015,Colombo,0,31,21.8,26.4
1/23/2015,Colombo,0,30.9,23.4,27.15
1/24/2015,Colombo,0,31.7,25.1,28.4
1/25/2015,Colombo,0,32.9,24.2,28.55
1/26/2015,Colombo,0,31,23.4,27.2
1/27/2015,Colombo,0,33,23.9,28.45
1/28/2015,Colombo,0.1,31.9,25.7,28.8
1/29/2015,Colombo,23.6,32.2,24.2,28.2
1/30/2015,Colombo,0,29.9,24.3,27.1
1/31/2015,Colombo,0,31.5,23.3,27.4
2/1/2015,Colombo,0,31.9,23.7,27.8
2/2/2015,Colombo,0,33.1,24.6,28.85
2/3/2015,Colombo,2.9,35.5,24.7,30.1
2/4/2015,Colombo,0,32.4,23.1,27.75
2/5/2015,Colombo,0.2,32.5,24.2,28.35
2/6/2015,Colombo,49,32.7,24.6,28.65
2/7/2015,Colombo,0,32.1,22.9,27.5
2/8/2015,Colombo,0,32.5,24,28.25
2/9/2015,Colombo,28.2,33.5,24.4,28.95
2/10/2015,Colombo,5.1,31.7,23.9,27.8
2/11/2015,Colombo,26.4,32.5,22.8,27.65
2/12/2015,Colombo,5.7,31.3,23.5,27.4
2/13/2015,Colombo,1.1,31.2,24.5,27.85
2/14/2015,Colombo,0,31.1,23.2,27.15
2/15/2015,Colombo,0,32.2,23,27.6
2/16/2015,Colombo,0,34.1,22.8,28.45
2/17/2015,Colombo,0,34.2,21.2,27.7
2/18/2015,Colombo,0,32.3,22.2,27.25
2/19/2015,Colombo,0,31.9,20.9,26.4
2/20/2015,Colombo,0,31.3,21.3,26.3
2/21/2015,Colombo,0,31.8,22.7,27.25
2/22/2015,Colombo,0,33.6,23.6,28.6
2/23/2015,Colombo,3,31.5,25,28.25
2/24/2015,Colombo,0,32.5,24.9,28.7
2/25/2015,Colombo,0,32,24.6,28.3
2/26/2015,Colombo,0.6,31.5,25.6,28.55
2/27/2015,Colombo,0.3,32.5,25.6,29.05
2/28/2015,Colombo,0,33.8,23.6,28.7
3/1/2015,Colombo,0,31.7,23.9,27.8
3/2/2015,Colombo,22.5,31.6,25,28.3
3/3/2015,Colombo,0,30.7,25.2,27.95
3/4/2015,Colombo,0.6,31,25.5,28.25
3/5/2015,Colombo,0,31.4,23.3,27.35
3/6/2015,Colombo,0,30.2,24.9,27.55
3/7/2015,Colombo,0,31.7,24.9,28.3
3/8/2015,Colombo,3.3,32.1,25.2,28.65
3/9/2015,Colombo,21.1,31.7,24.9,28.3
